Price,Units Ordered,Inventory Level,Discount,Holiday/Promotion,Competitor Pricing,valor_real,prediccion,probabilidad_alta_demanda,clasificacion_real,clasificacion_predicha
69.5,95,489,10,1,67.14,1,1,0.8759344337189963,Alta demanda,Alta demanda
35.55,84,173,15,1,31.05,0,0,0.2883835530911227,Demanda normal,Demanda normal
23.68,81,63,0,0,24.89,0,0,0.12703569357477795,Demanda normal,Demanda normal
44.74,197,78,5,1,48.18,0,0,0.14393384167419707,Demanda normal,Demanda normal
64.76,164,103,20,1,64.48,0,0,0.17521501880756934,Demanda normal,Demanda normal
85.89,144,119,0,1,87.01,0,0,0.19109722891871997,Demanda normal,Demanda normal
29.4,157,415,20,0,34.24,0,1,0.7877830639412233,Demanda normal,Alta demanda
48.14,136,99,0,1,43.19,0,0,0.16779254708227323,Demanda normal,Demanda normal
52.05,95,168,5,0,52.87,1,0,0.2731566000546869,Alta demanda,Demanda normal
76.8,98,70,5,1,76.67,0,0,0.13224388597400985,Demanda normal,Demanda normal
34.89,107,74,0,1,34.94,0,0,0.13880760349193128,Demanda normal,Demanda normal
82.49,200,375,0,1,79.91,1,1,0.7111637516186077,Alta demanda,Alta demanda
77.93,158,66,5,1,81.92,0,0,0.12836644514277235,Demanda normal,Demanda normal
69.49,171,331,5,0,73.53,1,1,0.6231787873654526,Alta demanda,Alta demanda
47.49,26,345,10,0,49.69,1,1,0.6548981066119524,Alta demanda,Alta demanda
63.51,155,386,20,0,66.57,0,1,0.7362921294224928,Demanda normal,Alta demanda
40.1,56,240,5,1,37.2,0,0,0.4232244064940397,Demanda normal,Demanda normal
53.03,80,208,5,0,56.99,1,0,0.35064279027915557,Alta demanda,Demanda normal
58.02,82,210,10,1,57.82,0,0,0.3573526544122068,Demanda normal,Demanda normal
11.99,172,240,15,0,14.76,1,0,0.4304929753079708,Alta demanda,Demanda normal
76.04,89,50,5,0,73.58,0,0,0.1120887941837839,Demanda normal,Demanda normal
60.41,163,319,10,1,61.89,1,1,0.6015355407809092,Alta demanda,Alta demanda
89.82,34,312,15,1,89.63,1,1,0.581244123665249,Alta demanda,Alta demanda
90.92,36,233,10,0,86.55,1,0,0.4001048897556305,Alta demanda,Demanda normal
99.14,167,231,10,0,103.22,0,0,0.3961418538556922,Demanda normal,Demanda normal
13.07,163,289,15,1,15.92,1,1,0.5429987275453715,Alta demanda,Alta demanda
34.58,135,369,0,0,32.65,1,1,0.7034888898874527,Alta demanda,Alta demanda
98.02,179,333,15,1,94.1,1,1,0.6285894730825964,Alta demanda,Alta demanda
98.39,59,299,0,1,103.33,0,1,0.546190373596123,Demanda normal,Alta demanda
10.24,178,380,5,1,5.56,1,1,0.730193846779535,Alta demanda,Alta demanda
50.09,59,374,10,0,51.82,1,1,0.7122396201928376,Alta demanda,Alta demanda
94.53,167,171,10,0,94.32,1,0,0.2758597498036058,Alta demanda,Demanda normal
30.81,176,82,15,0,35.04,0,0,0.15013456744496406,Demanda normal,Demanda normal
23.58,124,337,5,1,19.69,1,1,0.6435871362340179,Alta demanda,Alta demanda
14.02,128,54,0,1,15.55,0,0,0.11981483961494772,Demanda normal,Demanda normal
16.7,81,360,20,1,14.62,1,1,0.6943056879312653,Alta demanda,Alta demanda
81.87,77,198,5,1,82.42,1,0,0.32790494773293377,Alta demanda,Demanda normal
83.34,107,217,15,0,82.09,1,0,0.3690904442356302,Alta demanda,Demanda normal
